scope,territory_code,name,region,fiscal_source_available,direct_source_available,census_private_dwellings_2024,fiscal_baseline_primary_h_roles_2026s1,direct_primary_h_roles_2026s1,direct_vs_fiscal_primary_h_change,eligible_nonprincipal_residential_roles_2026s1,expanded_residential_roles_2026s1,signed_difference_before_expansion,positive_difference_before_expansion,signed_difference_after_expansion,positive_difference_after_expansion,signed_difference_reduction,positive_difference_reduction
commune,10101,Puerto Montt,Los Lagos,True,True,116003,86967,87002,35,946,87948,29001,29001,28055,28055,946,946
commune,10102,Calbuco,Los Lagos,True,True,15935,4694,4696,2,158,4854,11239,11239,11081,11081,158,158
commune,10103,Cochamó,Los Lagos,True,True,3059,441,441,0,32,473,2618,2618,2586,2586,32,32
commune,10104,Fresia,Los Lagos,True,True,6285,3274,3274,0,40,3314,3011,3011,2971,2971,40,40
commune,10105,Frutillar,Los Lagos,True,True,10299,7007,7007,0,123,7130,3292,3292,3169,3169,123,123
commune,10106,Los Muermos,Los Lagos,True,True,8696,3205,3205,0,80,3285,5491,5491,5411,5411,80,80
commune,10107,Llanquihue,Los Lagos,True,True,6957,4983,4984,1,73,5057,1973,1973,1900,1900,73,73
commune,10108,Maullín,Los Lagos,True,True,7554,3013,3013,0,67,3080,4541,4541,4474,4474,67,67
commune,10109,Puerto Varas,Los Lagos,True,True,25190,16454,16457,3,319,16776,8733,8733,8414,8414,319,319
commune,10201,Castro,Los Lagos,True,True,21172,13268,13284,16,502,13786,7888,7888,7386,7386,502,502
commune,10202,Ancud,Los Lagos,True,True,19842,11768,11770,2,248,12018,8072,8072,7824,7824,248,248
commune,10203,Chonchi,Los Lagos,True,True,8286,2709,2709,0,100,2809,5577,5577,5477,5477,100,100
commune,10204,Curaco de Vélez,Los Lagos,True,True,1915,669,669,0,10,679,1246,1246,1236,1236,10,10
commune,10205,Dalcahue,Los Lagos,True,True,7222,2777,2780,3,104,2884,4442,4442,4338,4338,104,104
commune,10206,Puqueldón,Los Lagos,True,True,2091,459,459,0,25,484,1632,1632,1607,1607,25,25
commune,10207,Queilén,Los Lagos,True,True,3139,1256,1258,2,22,1280,1881,1881,1859,1859,22,22
commune,10208,Quellón,Los Lagos,True,True,13470,5268,5270,2,198,5468,8200,8200,8002,8002,198,198
commune,10209,Quemchi,Los Lagos,True,True,4650,985,985,0,22,1007,3665,3665,3643,3643,22,22
commune,10210,Quinchao,Los Lagos,True,True,4148,1272,1276,4,64,1340,2872,2872,2808,2808,64,64
commune,10301,Osorno,Los Lagos,True,True,68725,55834,55838,4,849,56687,12887,12887,12038,12038,849,849
commune,10302,Puerto Octay,Los Lagos,True,True,5289,1674,1675,1,53,1728,3614,3614,3561,3561,53,53
commune,10303,Purranque,Los Lagos,True,True,8704,5305,5305,0,141,5446,3399,3399,3258,3258,141,141
commune,10304,Puyehue,Los Lagos,True,True,5982,2582,2583,1,44,2627,3399,3399,3355,3355,44,44
commune,10305,Río Negro,Los Lagos,True,True,6488,3261,3262,1,69,3331,3226,3226,3157,3157,69,69
commune,10306,San Juan de la Costa,Los Lagos,True,True,6794,1187,1189,2,14,1203,5605,5605,5591,5591,14,14
commune,10307,San Pablo,Los Lagos,True,True,5130,2375,2375,0,31,2406,2755,2755,2724,2724,31,31
commune,10401,Chaitén,Los Lagos,True,True,2557,1219,1219,0,72,1291,1338,1338,1266,1266,72,72
commune,10402,Futaleufú,Los Lagos,True,True,1790,671,671,0,51,722,1119,1119,1068,1068,51,51
commune,10403,Hualaihué,Los Lagos,True,True,5214,1387,1387,0,32,1419,3827,3827,3795,3795,32,32
commune,10404,Palena,Los Lagos,True,True,1308,455,455,0,18,473,853,853,835,835,18,18
commune,1101,Iquique,Tarapacá,True,True,75326,55511,55513,2,1345,56858,19813,19813,18468,18468,1345,1345
commune,1107,Alto Hospicio,Tarapacá,True,True,46558,31190,31192,2,299,31491,15366,15366,15067,15067,299,299
commune,11101,Coyhaique,Aysén del General Carlos Ibáñez del Campo,True,True,27953,19704,19711,7,502,20213,8242,8242,7740,7740,502,502
commune,11102,Lago Verde,Aysén del General Carlos Ibáñez del Campo,True,True,721,285,285,0,22,307,436,436,414,414,22,22
commune,11201,Aysén,Aysén del General Carlos Ibáñez del Campo,True,True,11036,8133,8133,0,275,8408,2903,2903,2628,2628,275,275
commune,11202,Cisnes,Aysén del General Carlos Ibáñez del Campo,True,True,3434,1817,1818,1,116,1934,1616,1616,1500,1500,116,116
commune,11203,Guaitecas,Aysén del General Carlos Ibáñez del Campo,True,True,813,327,327,0,17,344,486,486,469,469,17,17
commune,11301,Cochrane,Aysén del General Carlos Ibáñez del Campo,True,True,2119,1191,1192,1,60,1252,927,927,867,867,60,60
commune,11302,O'Higgins,Aysén del General Carlos Ibáñez del Campo,True,True,403,195,195,0,12,207,208,208,196,196,12,12
commune,11303,Tortel,Aysén del General Carlos Ibáñez del Campo,True,True,392,133,133,0,9,142,259,259,250,250,9,9
commune,11401,Chile Chico,Aysén del General Carlos Ibáñez del Campo,True,True,3103,1819,1822,3,96,1918,1281,1281,1185,1185,96,96
commune,11402,Río Ibáñez,Aysén del General Carlos Ibáñez del Campo,True,True,2234,980,980,0,51,1031,1254,1254,1203,1203,51,51
commune,12101,Punta Arenas,Magallanes y de la Antártica Chilena,True,True,59126,47390,47407,17,850,48257,11719,11719,10869,10869,850,850
commune,12102,Laguna Blanca,Magallanes y de la Antártica Chilena,True,True,287,50,50,0,2,52,237,237,235,235,2,2
commune,12103,Río Verde,Magallanes y de la Antártica Chilena,True,True,188,1,1,0,2,3,187,187,185,185,2,2
commune,12104,San Gregorio,Magallanes y de la Antártica Chilena,True,True,441,118,118,0,14,132,323,323,309,309,14,14
commune,12201,Cabo de Hornos,Magallanes y de la Antártica Chilena,True,True,775,404,404,0,8,412,371,371,363,363,8,8
commune,12202,Antártica,Magallanes y de la Antártica Chilena,False,False,0,,,,,,,,,,,
commune,12301,Porvenir,Magallanes y de la Antártica Chilena,True,True,3540,2017,2017,0,94,2111,1523,1523,1429,1429,94,94
commune,12302,Primavera,Magallanes y de la Antártica Chilena,True,True,414,65,65,0,36,101,349,349,313,313,36,36
commune,12303,Timaukel,Magallanes y de la Antártica Chilena,True,True,213,13,13,0,3,16,200,200,197,197,3,3
commune,12401,Natales,Magallanes y de la Antártica Chilena,True,True,11205,8796,8796,0,306,9102,2409,2409,2103,2103,306,306
commune,12402,Torres del Paine,Magallanes y de la Antártica Chilena,True,True,303,23,23,0,11,34,280,280,269,269,11,11
commune,13101,Santiago,Metropolitana de Santiago,True,True,239172,219706,219735,29,2580,222315,19437,19437,16857,16857,2580,2580
commune,13102,Cerrillos,Metropolitana de Santiago,True,True,31635,28135,28136,1,320,28456,3499,3499,3179,3179,320,320
commune,13103,Cerro Navia,Metropolitana de Santiago,True,True,40081,30699,30699,0,723,31422,9382,9382,8659,8659,723,723
commune,13104,Conchalí,Metropolitana de Santiago,True,True,38815,32219,32223,4,690,32913,6592,6592,5902,5902,690,690
commune,13105,El Bosque,Metropolitana de Santiago,True,True,50329,42543,42545,2,702,43247,7784,7784,7082,7082,702,702
commune,13106,Estación Central,Metropolitana de Santiago,True,True,75992,70314,70314,0,575,70889,5678,5678,5103,5103,575,575
commune,13107,Huechuraba,Metropolitana de Santiago,True,True,31097,28411,28415,4,185,28600,2682,2682,2497,2497,185,185
commune,13108,Independencia,Metropolitana de Santiago,True,True,50308,43742,43746,4,748,44494,6562,6562,5814,5814,748,748
commune,13109,La Cisterna,Metropolitana de Santiago,True,True,41580,42308,42309,1,1024,43333,-729,0,-1753,0,1024,0
commune,13110,La Florida,Metropolitana de Santiago,True,True,143584,140184,140209,25,1054,141263,3375,3375,2321,2321,1054,1054
commune,13111,La Granja,Metropolitana de Santiago,True,True,36686,29929,29929,0,588,30517,6757,6757,6169,6169,588,588
commune,13112,La Pintana,Metropolitana de Santiago,True,True,53011,48826,48827,1,620,49447,4184,4184,3564,3564,620,620
commune,13113,La Reina,Metropolitana de Santiago,True,True,31596,30064,30094,30,224,30318,1502,1502,1278,1278,224,224
commune,13114,Las Condes,Metropolitana de Santiago,True,True,128937,128395,128417,22,532,128949,520,520,-12,0,532,520
commune,13115,Lo Barnechea,Metropolitana de Santiago,True,True,36370,33957,34071,114,141,34212,2299,2299,2158,2158,141,141
