series,territory_code,roles,primary_h,positive_h_line_roles,non_h_with_h_line,excluded_common,excluded_matrix,unresolved,eligible_non_h_h,agricultural_p_only,primary_h_without_positive_h_line
A,1101,18,0,1,1,0,0,0,1,1,0
A,1107,7,0,0,0,0,0,0,0,1,0
A,1401,5867,0,1,1,0,0,0,1,7,0
A,1402,1312,0,0,0,0,0,0,0,0,0
A,1403,410,0,0,0,0,0,0,0,0,0
A,1404,3331,0,0,0,0,0,0,0,0,0
A,1405,1879,0,10,10,0,0,0,10,47,0
A,2101,90,0,0,0,0,0,0,0,0,0
A,2102,24,0,0,0,0,0,0,0,0,0
A,2103,38,0,0,0,0,0,0,0,0,0
A,2104,53,0,0,0,0,0,0,0,0,0
A,2201,2148,0,17,17,0,0,0,17,46,0
A,2202,29,0,0,0,0,0,0,0,0,0
A,2203,3210,0,19,19,0,0,0,19,142,0
A,2301,6,0,0,0,0,0,0,0,0,0
A,2302,105,0,0,0,0,0,0,0,0,0
A,3101,3081,0,2,2,0,0,0,2,35,0
A,3102,39,0,0,0,0,0,0,0,0,0
A,3103,709,0,0,0,0,0,0,0,21,0
A,3201,23,0,0,0,0,0,0,0,0,0
A,3202,85,0,0,0,0,0,0,0,0,0
A,3301,2980,0,0,0,0,0,0,0,56,0
A,3302,2501,0,0,0,0,0,0,0,81,0
A,3303,657,0,0,0,0,0,0,0,14,0
A,3304,743,0,2,2,0,0,0,2,12,0
A,4101,2136,0,0,0,0,0,0,0,60,0
A,4102,2673,0,4,4,0,0,0,4,47,0
A,4103,507,0,1,1,0,0,0,1,6,0
A,4104,2747,0,0,0,0,0,0,0,1,0
A,4105,1017,0,0,0,0,0,0,0,15,0
A,4106,2198,0,1,1,0,0,0,1,44,0
A,4201,2703,0,1,1,0,0,0,1,86,0
A,4202,1381,0,1,1,0,0,0,1,14,0
A,4203,1744,0,1,1,0,0,0,1,29,0
A,4204,3821,0,1,1,0,0,0,1,52,0
A,4301,6493,0,4,4,0,0,0,4,45,0
A,4302,2052,0,0,0,0,0,0,0,26,0
A,4303,5414,0,5,5,0,0,0,5,26,0
A,4304,2338,0,0,0,0,0,0,0,19,0
A,4305,1395,0,7,7,0,0,0,7,8,0
A,5101,3101,0,0,0,0,0,0,0,13,0
A,5102,1600,0,3,3,0,0,0,3,128,0
A,5103,259,0,0,0,0,0,0,0,5,0
A,5104,14,0,0,0,0,0,0,0,0,0
A,5105,2514,0,1,1,0,0,0,1,27,0
A,5107,700,0,0,0,0,0,0,0,18,0
A,5109,593,0,2,2,0,0,0,2,1,0
A,5201,510,0,0,0,0,0,0,0,1,0
A,5301,276,0,1,1,0,0,0,1,20,0
A,5302,701,0,3,3,0,0,0,3,48,0
A,5303,781,0,1,1,0,0,0,1,17,0
A,5304,1422,0,1,1,0,0,0,1,66,0
A,5401,3677,0,6,6,0,0,0,6,45,0
A,5402,2289,0,1,1,0,0,0,1,39,0
A,5403,386,0,0,0,0,0,0,0,4,0
A,5404,1934,0,3,3,0,0,0,3,29,0
A,5405,659,0,0,0,0,0,0,0,9,0
A,5501,3412,0,4,4,0,0,0,4,175,0
A,5502,447,0,0,0,0,0,0,0,16,0
A,5503,2599,0,10,10,0,0,0,10,111,0
A,5504,812,0,10,10,0,0,0,10,97,0
A,5506,1466,0,2,2,0,0,0,2,35,0
A,5601,1528,0,2,2,0,0,0,2,24,0
A,5602,1864,0,1,1,0,0,0,1,21,0
A,5603,1072,0,1,1,0,0,0,1,5,0
A,5604,416,0,0,0,0,0,0,0,1,0
A,5605,823,0,0,0,0,0,0,0,0,0
A,5606,5299,0,1,1,0,0,0,1,69,0
A,5701,1569,0,1,1,0,0,0,1,60,0
A,5702,1414,0,1,1,0,0,0,1,18,0
A,5703,1096,0,0,0,0,0,0,0,20,0
A,5704,569,0,0,0,0,0,0,0,33,0
A,5705,2050,0,1,1,0,0,0,1,25,0
A,5706,1113,0,0,0,0,0,0,0,45,0
A,5801,1978,0,6,6,0,0,0,6,31,0
A,5802,2880,0,2,2,0,0,0,2,103,0
A,5803,1769,0,7,7,0,0,0,7,116,0
A,5804,344,0,1,1,0,0,0,1,23,0
A,6101,1331,0,6,6,0,0,0,6,64,0
A,6102,1111,0,2,2,0,0,0,2,37,0
A,6103,1973,0,3,3,0,0,0,3,24,0
A,6104,2923,0,18,18,0,0,0,18,99,0
A,6105,1731,0,0,0,0,0,0,0,35,0
A,6106,796,0,3,3,0,0,0,3,21,0
A,6107,4063,0,48,48,0,0,0,48,207,0
A,6108,1078,0,2,2,0,0,0,2,29,0
A,6109,2470,0,3,3,0,0,0,3,56,0
A,6110,1321,0,8,8,0,0,0,8,29,0
A,6111,742,0,4,4,0,0,0,4,23,0
A,6112,799,0,0,0,0,0,0,0,34,0
A,6113,3648,0,7,7,0,0,0,7,92,0
A,6114,1599,0,1,1,0,0,0,1,52,0
A,6115,2736,0,2,2,0,0,0,2,227,0
A,6116,1652,0,1,1,0,0,0,1,58,0
A,6117,5725,0,5,5,0,0,0,5,651,0
A,6201,2933,0,0,0,0,0,0,0,16,0
A,6202,1449,0,0,0,0,0,0,0,7,0
A,6203,2253,0,0,0,0,0,0,0,11,0
A,6204,2371,0,0,0,0,0,0,0,18,0
A,6205,4280,0,1,1,0,0,0,1,4,0
A,6206,3540,0,0,0,0,0,0,0,13,0
A,6301,2354,0,3,3,0,0,0,3,77,0
A,6302,2917,0,0,0,0,0,0,0,72,0
A,6303,4248,0,0,0,0,0,0,0,78,0
A,6304,2684,0,0,0,0,0,0,0,26,0
A,6305,1391,0,1,1,0,0,0,1,34,0
A,6306,2279,0,1,1,0,0,0,1,74,0
A,6307,1630,0,1,1,0,0,0,1,33,0
A,6308,1466,0,0,0,0,0,0,0,19,0
A,6309,1604,0,0,0,0,0,0,0,31,0
A,6310,3039,0,0,0,0,0,0,0,58,0
A,7101,2875,0,0,0,0,0,0,0,50,0
A,7102,7172,0,4,4,0,0,0,4,131,0
A,7103,7939,0,5,5,0,0,0,5,103,0
A,7104,5265,0,0,0,0,0,0,0,25,0
A,7105,3380,0,3,3,0,0,0,3,127,0
A,7106,2996,0,2,2,0,0,0,2,72,0
A,7107,3622,0,2,2,0,0,0,2,98,0
A,7108,3325,0,4,4,0,0,0,4,67,0
A,7109,11171,0,10,10,0,0,0,10,329,0
A,7110,2623,0,0,0,0,0,0,0,58,0
A,7201,12993,0,8,8,0,0,0,8,712,0
A,7202,5607,0,8,8,0,0,0,8,260,0
A,7203,6109,0,17,17,0,0,0,17,239,0
A,7301,4825,0,1,1,0,0,0,1,233,0
A,7302,3460,0,2,2,0,0,0,2,307,0
A,7303,1798,0,0,0,0,0,0,0,69,0
A,7304,2863,0,3,3,0,0,0,3,196,0
A,7305,2239,0,0,0,0,0,0,0,105,0
A,7306,2333,0,0,0,0,0,0,0,128,0
A,7307,2532,0,0,0,0,0,0,0,156,0
A,7308,5871,0,1,1,0,0,0,1,358,0
A,7309,2134,0,1,1,0,0,0,1,36,0
A,7401,10198,0,9,9,0,0,0,9,242,0
A,7402,5667,0,0,0,0,0,0,0,99,0
A,7403,12653,0,0,0,0,0,0,0,159,0
A,7404,9953,0,1,1,0,0,0,1,94,0
A,7405,9687,0,0,0,0,0,0,0,82,0
A,7406,8305,0,3,3,0,0,0,3,206,0
A,7407,2987,0,2,2,0,0,0,2,97,0
A,7408,5146,0,1,1,0,0,0,1,164,0
A,8101,913,0,0,0,0,0,0,0,37,0
A,8102,778,0,2,2,0,0,0,2,14,0
A,8103,115,0,1,1,0,0,0,1,6,0
A,8104,5900,0,47,47,0,0,0,47,110,0
A,8105,4419,0,4,4,0,0,0,4,40,0
A,8106,93,0,0,0,0,0,0,0,0,0
A,8107,469,0,3,3,0,0,0,3,5,0
A,8108,188,0,0,0,0,0,0,0,18,0
A,8109,7205,0,13,13,0,0,0,13,306,0
A,8110,69,0,0,0,0,0,0,0,1,0
A,8111,4132,0,4,4,0,0,0,4,117,0
A,8112,65,0,1,1,0,0,0,1,0,0
A,8201,1789,0,0,0,0,0,0,0,0,0
A,8202,4365,0,20,20,0,0,0,20,64,0
A,8203,7917,0,36,36,0,0,0,36,88,0
A,8204,3087,0,30,30,0,0,0,30,68,0
A,8205,1239,0,0,0,0,0,0,0,4,0
A,8206,2462,0,1,1,0,0,0,1,16,0
A,8207,3688,0,0,0,0,0,0,0,2,0
A,8301,22284,0,3,3,0,0,0,3,45,0
A,8302,1435,0,0,0,0,0,0,0,17,0
A,8303,5000,0,1,1,0,0,0,1,26,0
A,8304,4549,0,1,1,0,0,0,1,19,0
A,8305,4654,0,0,0,0,0,0,0,6,0
A,8306,5524,0,0,0,0,0,0,0,7,0
A,8307,2002,0,0,0,0,0,0,0,14,0
A,8308,2132,0,0,0,0,0,0,0,0,0
A,8309,3746,0,0,0,0,0,0,0,2,0
A,8310,1286,0,0,0,0,0,0,0,3,0
A,8311,4126,0,0,0,0,0,0,0,6,0
A,8312,2922,0,0,0,0,0,0,0,29,0
A,8313,11310,0,3,3,0,0,0,3,51,0
A,8314,1199,0,0,0,0,0,0,0,4,0
A,9101,7595,0,6,6,0,0,0,6,86,0
A,9102,9912,0,0,0,0,0,0,0,5,0
A,9103,6808,0,4,4,0,0,0,4,53,0
A,9104,2910,0,0,0,0,0,0,0,5,0
A,9105,9302,0,3,3,0,0,0,3,35,0
A,9106,6089,0,0,0,0,0,0,0,5,0
A,9107,4155,0,2,2,0,0,0,2,39,0
A,9108,7301,0,1,1,0,0,0,1,79,0
A,9109,5835,0,2,2,0,0,0,2,55,0
A,9110,2863,0,2,2,0,0,0,2,12,0
A,9111,11355,0,0,0,0,0,0,0,3,0
A,9112,12712,0,4,4,0,0,0,4,44,0
A,9113,2910,0,0,0,0,0,0,0,11,0
A,9114,5850,0,2,2,0,0,0,2,82,0
A,9115,4653,0,6,6,0,0,0,6,111,0
A,9116,5589,0,0,0,0,0,0,0,1,0
A,9117,7229,0,4,4,0,0,0,4,92,0
A,9118,4170,0,0,0,0,0,0,0,43,0
A,9119,7973,0,9,9,0,0,0,9,122,0
A,9120,8390,0,9,9,0,0,0,9,60,0
A,9121,5765,0,0,0,0,0,0,0,1,0
A,9201,5233,0,23,23,0,0,0,23,31,0
A,9202,4148,0,0,0,0,0,0,0,17,0
A,9203,4284,0,5,5,0,0,0,5,19,0
A,9204,2629,0,0,0,0,0,0,0,15,0
A,9205,3823,0,0,0,0,0,0,0,0,0
A,9206,3161,0,0,0,0,0,0,0,9,0
A,9207,4439,0,0,0,0,0,0,0,1,0
A,9208,3718,0,2,2,0,0,0,2,2,0
A,9209,1806,0,1,1,0,0,0,1,17,0
A,9210,2997,0,0,0,0,0,0,0,28,0
A,9211,4997,0,2,2,0,0,0,2,28,0
A,10101,8220,0,5,5,0,0,0,5,90,0
A,10102,7459,0,5,5,0,0,0,5,11,0
A,10103,2573,0,1,1,0,0,0,1,5,0
A,10104,2995,0,0,0,0,0,0,0,8,0
A,10105,1736,0,1,1,0,0,0,1,32,0
A,10106,5344,0,0,0,0,0,0,0,19,0
A,10107,926,0,0,0,0,0,0,0,12,0
A,10108,4314,0,0,0,0,0,0,0,6,0
A,10109,2832,0,4,4,0,0,0,4,27,0
A,10201,5689,0,1,1,0,0,0,1,181,0
A,10202,9773,0,6,6,0,0,0,6,117,0
A,10203,6829,0,1,1,0,0,0,1,142,0
A,10204,2373,0,0,0,0,0,0,0,28,0
A,10205,5072,0,2,2,0,0,0,2,57,0
A,10206,2258,0,0,0,0,0,0,0,83,0
A,10207,3132,0,0,0,0,0,0,0,52,0
A,10208,4464,0,0,0,0,0,0,0,57,0
A,10209,4042,0,1,1,0,0,0,1,48,0
A,10210,3906,0,1,1,0,0,0,1,40,0
A,10301,3992,0,3,3,0,0,0,3,126,0
A,10302,2104,0,1,1,0,0,0,1,46,0
A,10303,2900,0,0,0,0,0,0,0,46,0
A,10304,3146,0,0,0,0,0,0,0,27,0
A,10305,3121,0,0,0,0,0,0,0,49,0
A,10306,4603,0,1,1,0,0,0,1,1,0
A,10307,3229,0,0,0,0,0,0,0,26,0
A,10401,2630,0,2,2,0,0,0,2,7,0
A,10402,1007,0,0,0,0,0,0,0,2,0
A,10403,2359,0,0,0,0,0,0,0,3,0
A,10404,905,0,0,0,0,0,0,0,2,0
A,11101,4717,0,5,5,0,0,0,5,67,0
A,11102,761,0,0,0,0,0,0,0,0,0
A,11201,3562,0,4,4,0,0,0,4,8,0
A,11202,1963,0,1,1,0,0,0,1,5,0
A,11203,254,0,0,0,0,0,0,0,2,0
A,11301,843,0,0,0,0,0,0,0,3,0
A,11302,176,0,0,0,0,0,0,0,4,0
A,11303,117,0,0,0,0,0,0,0,0,0
A,11401,1366,0,3,3,0,0,0,3,24,0
A,11402,1626,0,2,2,0,0,0,2,22,0
A,12101,710,0,4,4,0,0,0,4,8,0
A,12102,101,0,1,1,0,0,0,1,2,0
A,12103,144,0,1,1,0,0,0,1,15,0
A,12104,126,0,1,1,0,0,0,1,6,0
A,12201,187,0,0,0,0,0,0,0,0,0
A,12301,485,0,1,1,0,0,0,1,0,0
A,12302,170,0,0,0,0,0,0,0,0,0
A,12303,132,0,0,0,0,0,0,0,0,0
A,12401,684,0,9,9,0,0,0,9,23,0
A,12402,162,0,0,0,0,0,0,0,11,0
A,13102,4,0,0,0,0,0,0,0,0,0
A,13103,8,0,0,0,0,0,0,0,0,0
A,13107,56,0,1,1,0,0,0,1,3,0
A,13110,36,0,0,0,0,0,0,0,3,0
A,13112,125,0,0,0,0,0,0,0,5,0
A,13113,53,0,0,0,0,0,0,0,0,0
A,13114,15,0,1,1,0,0,0,1,1,0
A,13115,589,0,1,1,0,0,0,1,2,0
A,13119,380,0,0,0,0,0,0,0,15,0
A,13122,38,0,0,0,0,0,0,0,6,0
A,13124,485,0,1,1,0,0,0,1,4,0
A,13125,198,0,1,1,0,0,0,1,7,0
A,13128,51,0,1,1,0,0,0,1,0,0
A,13132,8,0,0,0,0,0,0,0,0,0
A,13201,120,0,0,0,0,0,0,0,13,0
A,13202,1675,0,5,5,0,0,0,5,173,0
A,13203,331,0,0,0,0,0,0,0,52,0
A,13301,4939,0,16,16,0,0,0,16,38,0
A,13302,2592,0,8,8,0,0,0,8,145,0
A,13303,1553,0,3,3,0,0,0,3,26,0
A,13401,714,0,4,4,0,0,0,4,75,0
A,13402,1654,0,6,6,0,0,0,6,103,0
A,13403,665,0,6,6,0,0,0,6,94,0
A,13404,3917,0,17,17,0,0,0,17,229,0
A,13501,11349,0,39,39,0,0,0,39,481,0
A,13502,843,0,0,0,0,0,0,0,6,0
A,13503,3062,0,5,5,0,0,0,5,72,0
A,13504,2097,0,2,2,0,0,0,2,97,0
A,13505,4069,0,18,18,0,0,0,18,91,0
A,13601,1259,0,3,3,0,0,0,3,36,0
A,13602,1113,0,1,1,0,0,0,1,32,0
A,13603,993,0,1,1,0,0,0,1,38,0
A,13604,494,0,0,0,0,0,0,0,9,0
A,13605,539,0,4,4,0,0,0,4,34,0
A,14101,2760,0,11,11,0,0,0,11,93,0
A,14102,1005,0,0,0,0,0,0,0,12,0
A,14103,2488,0,12,12,0,0,0,12,52,0
A,14104,3138,0,11,11,0,0,0,11,106,0
A,14105,1465,0,14,14,0,0,0,14,35,0
A,14106,4145,0,1,1,0,0,0,1,40,0
A,14107,3377,0,30,30,0,0,0,30,69,0
A,14108,7135,0,3,3,0,0,0,3,275,0
A,14201,6216,0,8,8,0,0,0,8,74,0
A,14202,2322,0,0,0,0,0,0,0,74,0
A,14203,3077,0,5,5,0,0,0,5,158,0
A,14204,7160,0,2,2,0,0,0,2,106,0
A,15101,4301,0,7,7,0,0,0,7,86,0
A,15102,1446,0,0,0,0,0,0,0,1,0
A,15201,4249,0,0,0,0,0,0,0,0,0
A,15202,118,0,0,0,0,0,0,0,0,0
A,16101,6615,0,2,2,0,0,0,2,237,0
A,16102,4970,0,3,3,0,0,0,3,233,0
A,16103,2575,0,0,0,0,0,0,0,57,0
A,16104,6729,0,1,1,0,0,0,1,99,0
A,16105,3032,0,0,0,0,0,0,0,91,0
A,16106,4783,0,0,0,0,0,0,0,81,0
A,16107,8201,0,0,0,0,0,0,0,158,0
A,16108,8178,0,4,4,0,0,0,4,307,0
A,16109,5315,0,0,0,0,0,0,0,74,0
A,16201,5014,0,0,0,0,0,0,0,37,0
A,16202,4749,0,0,0,0,0,0,0,83,0
A,16203,4229,0,0,0,0,0,0,0,113,0
A,16204,4507,0,1,1,0,0,0,1,101,0
A,16205,3599,0,0,0,0,0,0,0,205,0
A,16206,3476,0,0,0,0,0,0,0,135,0
A,16207,3733,0,0,0,0,0,0,0,86,0
A,16301,12063,0,0,0,0,0,0,0,133,0
A,16302,7077,0,1,1,0,0,0,1,229,0
A,16303,7423,0,0,0,0,0,0,0,151,0
A,16304,1895,0,0,0,0,0,0,0,107,0
A,16305,6203,0,0,0,0,0,0,0,138,0
N,1101,94020,55513,56879,1595,250,0,0,1345,0,229
N,1107,35692,31192,31513,333,34,0,0,299,0,12
N,1401,7620,5379,5140,129,0,0,0,129,0,368
N,1402,636,494,425,12,0,0,0,12,0,81
N,1403,729,239,157,5,0,0,0,5,0,87
N,1404,2114,1676,1295,21,0,0,0,21,0,402
N,1405,2813,1913,1957,59,0,0,0,59,0,15
N,2101,177786,117973,119636,1786,487,0,0,1299,0,123
N,2102,5855,4356,4412,60,8,0,0,52,0,4
N,2103,1207,428,450,22,0,0,0,22,0,0
N,2104,4481,3670,3732,65,0,0,0,65,0,3
N,2201,56208,45754,46476,762,81,0,0,681,0,40
N,2202,171,70,72,3,0,0,0,3,0,1
N,2203,3025,1675,1795,124,0,0,0,124,0,4
N,2301,10185,8975,9067,102,7,0,0,95,0,10
N,2302,597,94,113,19,0,0,0,19,0,0
N,3101,65222,53414,53935,624,60,0,0,564,0,103
N,3102,10331,8505,8643,141,6,0,0,135,0,3
N,3103,3746,3132,3239,109,0,0,0,109,0,2
N,3201,5650,4766,4911,148,3,0,0,145,0,3
N,3202,3907,2931,3135,206,2,0,0,204,0,2
N,3301,21056,18150,18478,342,12,0,0,330,0,14
N,3302,1480,1110,1127,18,0,0,0,18,0,1
N,3303,3111,2327,2365,39,0,0,0,39,0,1
N,3304,5020,4160,4230,73,2,0,0,71,0,3
N,4101,136719,101384,102131,848,43,0,0,805,0,101
N,4102,124582,97714,98406,775,22,0,0,753,0,83
N,4103,4757,3980,3804,62,0,0,0,62,0,238
N,4104,4203,2230,2114,13,0,0,0,13,0,129
N,4105,2564,1898,1609,31,0,0,0,31,0,320
N,4106,12467,9983,9656,86,2,0,0,84,0,413
N,4201,12048,9596,9621,133,1,0,0,132,0,108
N,4202,5328,3281,2465,24,0,0,0,24,0,840
N,4203,14589,10302,10156,147,1,0,0,146,0,293
N,4204,11017,8672,8621,183,0,0,0,183,0,234
N,4301,53022,39763,39362,339,9,0,0,330,0,740
