series,territory_code,destination,roles
A,1101,B,1
A,1401,B,1
A,1405,A,7
A,1405,B,3
A,2201,A,12
A,2201,B,5
A,2203,A,17
A,2203,B,2
A,3101,A,2
A,3304,A,2
A,4102,A,4
A,4103,A,1
A,4106,A,1
A,4201,A,1
A,4202,A,1
A,4203,A,1
A,4204,A,1
A,4301,A,3
A,4301,B,1
A,4303,A,5
A,4305,A,7
A,5102,A,1
A,5102,B,2
A,5105,A,1
A,5109,A,1
A,5109,B,1
A,5301,B,1
A,5302,B,3
A,5303,A,1
A,5304,B,1
A,5401,A,2
A,5401,B,4
A,5402,A,1
A,5404,A,3
A,5501,A,2
A,5501,B,2
A,5503,A,2
A,5503,B,8
A,5504,A,4
A,5504,B,6
A,5506,A,2
A,5601,B,2
A,5602,A,1
A,5603,B,1
A,5606,B,1
A,5701,A,1
A,5702,B,1
A,5705,B,1
A,5801,B,6
A,5802,B,2
A,5803,A,6
A,5803,B,1
A,5804,A,1
A,6101,A,2
A,6101,B,4
A,6102,A,2
A,6103,A,3
A,6104,A,18
A,6106,A,3
A,6107,A,47
A,6107,B,1
A,6108,A,1
A,6108,B,1
A,6109,A,3
A,6110,A,3
A,6110,B,5
A,6111,A,3
A,6111,B,1
A,6113,A,7
A,6114,B,1
A,6115,A,2
A,6116,A,1
A,6117,A,5
A,6205,A,1
A,6301,A,1
A,6301,B,2
A,6305,B,1
A,6306,A,1
A,6307,B,1
A,7102,A,4
A,7103,A,5
A,7105,A,3
A,7106,A,2
A,7107,A,2
A,7108,A,3
A,7108,B,1
A,7109,A,10
A,7201,A,8
A,7202,A,8
A,7203,A,17
A,7301,A,1
A,7302,A,2
A,7304,A,3
A,7308,A,1
A,7309,A,1
A,7401,A,9
A,7404,A,1
A,7406,A,3
A,7407,A,2
A,7408,A,1
A,8102,A,2
A,8103,A,1
A,8104,A,47
A,8105,A,4
A,8107,A,3
A,8109,A,13
A,8111,A,4
A,8112,A,1
A,8202,A,20
A,8203,A,36
A,8204,A,30
A,8206,A,1
A,8301,A,3
A,8303,A,1
A,8304,A,1
A,8313,A,3
A,9101,A,4
A,9101,B,2
A,9103,A,3
A,9103,B,1
A,9105,A,3
A,9107,A,2
A,9108,B,1
A,9109,A,2
A,9110,B,2
A,9112,A,1
A,9112,B,3
A,9114,A,2
A,9115,A,3
A,9115,B,3
A,9117,A,4
A,9119,A,8
A,9119,B,1
A,9120,A,4
A,9120,B,5
A,9201,A,23
A,9203,A,2
A,9203,B,3
A,9208,A,2
A,9209,A,1
A,9211,A,2
A,10101,A,5
A,10102,A,5
A,10103,A,1
A,10105,B,1
A,10109,A,1
A,10109,B,3
A,10201,A,1
A,10202,A,6
A,10203,A,1
A,10205,A,2
A,10209,A,1
A,10210,A,1
A,10301,A,2
A,10301,B,1
A,10302,B,1
A,10306,B,1
A,10401,A,2
A,11101,A,2
A,11101,B,3
A,11201,A,3
A,11201,B,1
A,11202,B,1
A,11401,A,3
A,11402,A,2
A,12101,A,4
A,12102,B,1
A,12103,B,1
A,12104,B,1
A,12301,B,1
A,12401,A,1
A,12401,B,8
A,13107,B,1
A,13114,B,1
A,13115,B,1
A,13124,B,1
A,13125,A,1
A,13128,B,1
A,13202,B,5
A,13301,A,15
A,13301,B,1
A,13302,A,7
A,13302,B,1
A,13303,A,3
A,13401,A,1
A,13401,B,3
