codigo_comuna,comuna,region,conara_sources,source_available,dwellings_2024,vacant_2024,households_2024,occupied_private_dwellings_2024,irrecoverable_type_dwellings_2024,irrecoverable_materiality_dwellings_2024,irrecoverable_dwellings_2024,materiality_complete_dwellings_2024,materiality_missing_dwellings_2024,materiality_only_acceptable_dwellings_2024,materiality_acceptable_dwellings_2024,non_irrecoverable_complete_dwellings_2024,materiality_acceptable_share_observed,materiality_acceptable_scenario,materiality_other_scenario,materiality_acceptable_complete_case_scenario,materiality_acceptable_missing_upper_scenario,non_irrecoverable_scenario,materiality_scenario_status,residential_roles_2026s1,signed_gap,coverage_pct,camp_polygons_2026,camp_census_households_observed_2024,camp_census_count_missing_polygons,camp_catalog_households_2026,camp_sensitivity_signed_gap,camp_sensitivity_positive_gap,camp_absorbed_positive_gap,camp_absorbed_positive_gap_pct,camp_adjustment_status,historical_conara_sources,historical_source_available,residential_roles_2024s2,gap_2024s2,roles_without_coordinates,parent_references,assessment_valid_roles_2026s1,assessment_missing_roles_2026s1,assessment_mean_clp,assessment_median_clp,assessment_above_exemption_roles,assessment_above_exemption_share,modeled_mean_annual_clp,modeled_median_annual_clp,modeled_positive_share,modeled_gap_mean_clp,modeled_gap_median_clp,modeled_q025_mean_clp,modeled_q05_mean_clp,modeled_tax_status,net_mean_annual_clp,net_median_annual_clp,net_positive_share,net_positive_mean_annual_clp,net_positive_median_annual_clp,scenario_q0_clp,scenario_q025_clp,scenario_q05_clp,scenario_q1_clp,fiscal_status
10101,Puerto Montt,Los Lagos,10301,True,116003,12431,100163,98794,560,447,942,98726,68,91753,91350,97784,0.9246512946130332,26263.795372188593,2140.2046278114067,26281.885217673156,26283.345871206755,28113.61758811264,composition_assumption,86967,29036,74.96961285483997,19,632,2,1045,28404,28404,632,2.1766083482573357,partial_census_count,10301,True,82438,33565,7040,0,86967,0,42455870.007117644,32794274.0,14381,0.1653615739303414,66778.68234119457,0.0,0.1653615739303414,1896781693.2192905,0.0,474195423.3048226,948390846.6096452,available,,,,,,,,,,blocked_components
10102,Calbuco,Los Lagos,10309,True,15935,2121,13410,13345,270,28,292,13345,0,12336,12101,13053,0.9067815661296366,10022.656650430872,1030.343349569128,10022.656650430872,10022.656650430872,10811.150917946796,composition_assumption,4694,11241,29.45716975211798,5,188,0,221,11053,11053,188,1.672449070367405,complete_census_count,10309,True,4316,11619,990,0,4694,0,22163473.03664252,14935928.0,244,0.05198125266297401,20673.7137274265,0.0,0.05198125266297401,228506557.82924512,0.0,57126639.45731128,114253278.91462256,available,,,,,,,,,,blocked_components
10103,Cochamó,Los Lagos,10302,True,3059,1151,1887,1881,57,5,60,1881,0,1748,1699,1821,0.9032429558745348,2364.690058479532,253.30994152046787,2364.690058479532,2364.690058479532,2534.4912280701756,composition_assumption,441,2618,14.416475972540045,0,0,0,0,2618,2618,0,0.0,no_current_camp_polygon,10302,True,413,2646,201,0,441,0,38032519.60997733,16398481.0,68,0.15419501133786848,121691.6825554421,0.0,0.15419501133786848,318588824.9301474,0.0,79647206.23253685,159294412.4650737,available,,,,,,,,,,blocked_components
10104,Fresia,Los Lagos,10304,True,6285,1035,4853,4836,342,16,356,4833,3,4116,3805,4477,0.7868072787427626,2369.076716294458,641.923283705542,2370.547279122698,2370.944582299421,2787.4787014061208,composition_assumption,3274,3011,52.09228321400159,0,0,0,0,3011,3011,0,0.0,no_current_camp_polygon,10304,True,3219,3066,1064,0,3274,0,20305851.63989004,14921062.0,143,0.04367745876603543,12277.905901435552,0.0,0.04367745876603543,36968774.669222444,0.0,9242193.667305611,18484387.334611222,available,,,,,,,,,,blocked_components
10105,Frutillar,Los Lagos,10305,True,10299,1575,8159,8081,97,23,117,8076,5,7536,7471,7959,0.9245142927855463,2986.1811656973146,243.81883430268545,2988.029965329371,2988.1796807325827,3181.236233139463,composition_assumption,7007,3292,68.03573162442956,2,62,0,21,3230,3230,62,1.8833535844471445,complete_census_count,10305,True,6078,4221,1324,0,7007,0,41597017.51362923,19793547.0,1252,0.17867846439275012,124386.8762474414,0.0,0.17867846439275012,401769610.2792357,0.0,100442402.56980893,200884805.13961786,available,,,,,,,,,,blocked_components
10106,Los Muermos,Los Lagos,10308,True,8696,1571,6657,6627,107,13,119,6625,2,5974,5877,6506,0.8868266183793572,4841.186509732911,617.813490267089,4842.648,4842.834012373623,5359.326090236909,composition_assumption,3205,5491,36.85602575896964,2,32,0,37,5459,5459,32,0.582771808413768,complete_census_count,10308,True,3115,5581,694,0,3205,0,18940337.582215287,12781761.0,96,0.02995319812792512,9866.253678199691,0.0,0.02995319812792512,53859878.82929212,0.0,13464969.70732303,26929939.41464606,available,,,,,,,,,,blocked_components
10107,Llanquihue,Los Lagos,10306,True,6957,552,6206,6095,55,9,64,6094,1,5744,5695,6030,0.9343724364232978,1795.8638228055784,126.13617719442163,1796.158516573679,1796.1791632485645,1901.5028712059066,composition_assumption,4983,1974,71.6257007330746,1,52,0,51,1922,1922,52,2.634245187436677,complete_census_count,10306,True,4708,2249,626,0,4983,0,34606043.59141079,18547246.0,585,0.11739915713425647,93573.0500838952,0.0,0.11739915713425647,179847402.26124656,0.0,44961850.56531164,89923701.13062328,available,,,,,,,,,,blocked_components
10108,Maullín,Los Lagos,10307,True,7554,1348,5960,5940,19,10,28,5937,3,5439,5425,5909,0.9132996632996633,4147.293771043771,393.7062289562291,4149.389422267138,4149.587205387205,4517.301178451178,composition_assumption,3013,4541,39.88615303150649,0,0,0,0,4541,4541,0,0.0,no_current_camp_polygon,10307,True,2910,4644,535,0,3013,0,13720544.75572519,9339575.0,59,0.019581812147361433,4730.176558692332,0.0,0.019581812147361433,21479731.75302188,0.0,5369932.93825547,10739865.87651094,available,,,,,,,,,,blocked_components
10109,Puerto Varas,Los Lagos,10303,True,25190,3928,19108,18779,129,159,286,18767,12,17384,17275,18481,0.9199105383673252,7996.782310027158,696.217689972842,8001.895614642724,8002.337238404601,8555.052611960169,composition_assumption,16454,8736,65.31957125843589,1,43,0,54,8693,8693,43,0.49221611721611724,complete_census_count,10303,True,15165,10025,1142,0,16454,0,86468373.22809044,61606252.0,8406,0.5108788136623313,398819.8894336907,14069.59006,0.5108788136623313,3466941298.847073,122306946.39158,866735324.7117683,1733470649.4235365,available,,,,,,,,,,blocked_components
10201,Castro,Los Lagos,10401,True,21172,2066,17911,17730,138,105,233,17712,18,16241,16130,17479,0.9097574732092498,7155.24252679075,709.7574732092498,7162.51411472448,7163.227298364354,7753.656796390299,composition_assumption,13268,7904,62.667674286793876,2,39,0,65,7865,7865,39,0.4934210526315789,complete_census_count,10401,True,12488,8684,1207,0,13268,0,29619053.047708772,16860369.5,1485,0.111923424781429,50240.26579577112,0.0,0.111923424781429,395139690.48373985,0.0,98784922.62093496,197569845.24186993,available,,,,,,,,,,blocked_components
