cod_com,Comuna,Region,rank_nac,c_ig_nac,c_ig_reg,Clasificación,pob_rsh_com,hog_com,pob_proy_ine_2026,cobertura_rsh,cobertura_rsh_raw
9116,Saavedra,La Araucanía,1,1,1,Rural,14113,6693,12596,100.0,112.0
8314,Alto Biobío,Biobío,2,1,1,Rural,7257,3541,6810,100.0,106.6
15202,General Lagos,Arica y Parinacota,3,1,1,Rural,556,298,794,70.0,70.0
16104,El Carmen,Ñuble,4,1,1,Rural,13661,6876,12119,100.0,112.7
10306,San Juan de la Costa,Los Lagos,5,1,1,Rural,9892,5137,7332,100.0,134.9
16205,Portezuelo,Ñuble,6,1,1,Rural,5603,2945,4842,100.0,115.7
9117,Teodoro Schmidt,La Araucanía,7,1,1,Rural,16986,8325,15708,100.0,108.1
9208,Purén,La Araucanía,8,1,1,Rural,13165,6377,12045,100.0,109.3
8302,Antuco,Biobío,9,1,1,Rural,4484,2251,4330,100.0,103.6
9207,Lumaco,La Araucanía,10,1,1,Rural,9454,4318,9850,96.0,96.0
8204,Contulmo,Biobío,11,1,1,Rural,6499,3377,6362,100.0,102.2
9102,Carahue,La Araucanía,12,1,1,Rural,25875,12198,25516,100.0,101.4
6205,Navidad,Libertador General Bernardo O'Higgins,13,1,1,Rural,8738,4753,7237,100.0,120.7
8201,Lebu,Biobío,14,1,1,Mixta,26863,13327,27151,98.9,98.9
16204,Ninhue,Ñuble,15,1,1,Rural,6129,3466,5321,100.0,115.2
5604,El Quisco,Valparaíso,16,1,1,Mixta,23201,12843,19296,100.0,120.2
9205,Lonquimay,La Araucanía,17,1,1,Rural,12558,6654,11125,100.0,112.9
7203,Pelluhue,Maule,18,1,1,Rural,9713,4882,8606,100.0,112.9
9118,Toltén,La Araucanía,19,1,1,Rural,10583,5069,9879,100.0,107.1
9110,Melipeuco,La Araucanía,20,1,1,Rural,8438,4420,6336,100.0,133.2
9106,Galvarino,La Araucanía,21,1,2,Rural,13827,6214,12528,100.0,110.4
9104,Curarrehue,La Araucanía,22,1,2,Rural,10197,5476,7894,100.0,129.2
16107,Quillón,Ñuble,23,1,1,Mixta,21568,11752,19532,100.0,110.4
8207,Tirúa,Biobío,24,1,1,Rural,11979,6145,11136,100.0,107.6
9204,Ercilla,La Araucanía,25,1,2,Rural,9896,4824,8350,100.0,118.5
9121,Cholchol,La Araucanía,26,1,2,Rural,15174,7373,12770,100.0,118.8
9111,Nueva Imperial,La Araucanía,27,1,2,Mixta,35668,16083,34276,100.0,104.1
10210,Quinchao,Los Lagos,28,1,1,Rural,7795,3691,8133,95.8,95.8
8310,San Rosendo,Biobío,29,1,1,Rural,3975,2134,3526,100.0,112.7
16206,Ranquil,Ñuble,30,1,1,Rural,6990,3858,6293,100.0,111.1
7202,Chanco,Maule,31,1,1,Rural,9861,5188,9210,100.0,107.1
9113,Perquenco,La Araucanía,32,1,2,Rural,7735,3387,7279,100.0,106.3
8203,Cañete,Biobío,33,1,1,Rural,37646,18898,37606,100.0,100.1
5605,El Tabo,Valparaíso,34,1,1,Mixta,21261,12067,15546,100.0,136.8
16302,Coihueco,Ñuble,35,1,2,Rural,29446,13804,29373,100.0,100.2
16303,Ñiquén,Ñuble,36,1,2,Rural,13236,6945,11495,100.0,115.1
15102,Camarones,Arica y Parinacota,37,1,2,Rural,1040,699,1251,83.1,83.1
1403,Colchane,Tarapacá,38,1,1,Rural,1504,876,1534,98.0,98.0
16202,Cobquecura,Ñuble,39,1,2,Rural,5711,3000,5198,100.0,109.9
16108,San Ignacio,Ñuble,40,1,2,Rural,18302,9927,16565,100.0,110.5
9107,Gorbea,La Araucanía,41,1,2,Rural,15440,7633,15031,100.0,102.7
9210,Traiguén,La Araucanía,42,1,2,Mixta,19715,9803,19235,100.0,102.5
7104,Empedrado,Maule,43,1,1,Rural,4456,2214,4153,100.0,107.3
8104,Florida,Biobío,44,1,1,Rural,12746,6471,11878,100.0,107.3
4304,Punitaqui,Coquimbo,45,1,1,Rural,12716,6562,12654,100.0,100.5
8313,Yumbel,Biobío,46,1,2,Mixta,24170,12548,22232,100.0,108.7
1404,Huara,Tarapacá,47,1,2,Rural,3385,1765,3125,100.0,108.3
7403,Longaví,Maule,48,1,1,Rural,36087,18357,34053,100.0,106.0
9206,Los Sauces,La Araucanía,49,1,3,Rural,8026,4005,7449,100.0,107.7
16201,Quirihue,Ñuble,50,1,2,Mixta,11876,6008,12245,97.0,97.0
16207,Treguaco,Ñuble,51,1,3,Rural,6101,3267,5792,100.0,105.3
4302,Combarbalá,Coquimbo,52,1,1,Rural,13949,7153,13823,100.0,100.9
6206,Paredones,Libertador General Bernardo O'Higgins,53,1,1,Rural,7919,4455,6210,100.0,127.5
16304,San Fabián,Ñuble,54,1,3,Rural,5915,3300,4851,100.0,121.9
9105,Freire,La Araucanía,55,1,3,Rural,27779,13727,25479,100.0,109.0
16106,Pinto,Ñuble,56,1,3,Rural,13850,7565,12311,100.0,112.5
9109,Loncoche,La Araucanía,57,1,3,Mixta,26499,12794,24778,100.0,106.9
14202,Futrono,Los Ríos,58,1,1,Rural,17129,7931,15135,100.0,113.2
9203,Curacautín,La Araucanía,59,1,3,Mixta,20108,10395,18203,100.0,110.5
10104,Fresia,Los Lagos,60,1,1,Rural,12796,6290,12529,100.0,102.1
8309,Quilleco,Biobío,61,1,2,Rural,10185,5093,9966,100.0,102.2
13505,San Pedro,Metropolitana de Santiago,62,1,1,Rural,11085,5560,12790,86.7,86.7
11402,Río Ibáñez,Aysén del General Carlos Ibáñez del Campo,63,1,1,Rural,3123,1853,2715,100.0,115.0
10103,Cochamó,Los Lagos,64,1,1,Rural,4787,2932,3919,100.0,122.1
13116,Lo Espejo,Metropolitana de Santiago,65,1,1,Urbana,93630,50686,98860,94.7,94.7
4104,La Higuera,Coquimbo,66,1,1,Rural,5853,3209,4561,100.0,128.3
9209,Renaico,La Araucanía,67,1,3,Mixta,11510,5908,11067,100.0,104.0
6103,Coinco,Libertador General Bernardo O'Higgins,68,1,1,Rural,8204,4203,8097,100.0,101.3
7102,Constitución,Maule,69,1,1,Mixta,48554,25099,50704,95.8,95.8
9114,Pitrufquén,La Araucanía,70,1,3,Mixta,29147,14817,26839,100.0,108.6
14102,Corral,Los Ríos,71,1,1,Rural,6130,3339,5406,100.0,113.4
7405,Retiro,Maule,72,1,1,Rural,23964,12510,21672,100.0,110.6
6304,Lolol,Libertador General Bernardo O'Higgins,73,1,1,Rural,8022,3931,7523,100.0,106.6
6114,Quinta de Tilcoco,Libertador General Bernardo O'Higgins,74,1,1,Mixta,14421,7700,14469,99.7,99.7
8105,Hualqui,Biobío,75,1,2,Mixta,27228,13447,26942,100.0,101.1
10106,Los Muermos,Los Lagos,76,1,1,Rural,18483,9487,17832,100.0,103.7
16105,Pemuco,Ñuble,77,1,3,Rural,9327,4746,8549,100.0,109.1
14105,Máfil,Los Ríos,78,1,1,Mixta,8087,4132,7357,100.0,109.9
5107,Quintero,Valparaíso,79,1,1,Mixta,36407,19506,39715,91.7,91.7
1402,Camiña,Tarapacá,80,1,2,Rural,1635,867,1365,100.0,119.8
15201,Putre,Arica y Parinacota,81,1,3,Rural,1669,1031,2586,64.5,64.5
10206,Puqueldón,Los Lagos,82,1,1,Rural,3932,1962,4181,94.0,94.0
11401,Chile Chico,Aysén del General Carlos Ibáñez del Campo,83,1,1,Rural,5626,2999,5174,100.0,108.7
9103,Cunco,La Araucanía,84,1,3,Rural,21449,10682,18069,100.0,118.7
16301,San Carlos,Ñuble,85,1,3,Mixta,57113,28112,57372,99.5,99.5
8109,Santa Juana,Biobío,86,1,2,Mixta,16261,8408,14920,100.0,109.0
10204,Curaco de Vélez,Los Lagos,87,2,1,Rural,4143,2167,4165,99.5,99.5
6201,Pichilemu,Libertador General Bernardo O'Higgins,88,2,1,Rural,22994,12634,19223,100.0,119.6
5603,Cartagena,Valparaíso,89,2,1,Mixta,26751,14242,27885,95.9,95.9
8306,Nacimiento,Biobío,90,2,2,Mixta,26403,12500,28045,94.1,94.1
16203,Coelemu,Ñuble,91,2,4,Rural,16326,8006,16909,96.6,96.6
4106,Vicuña,Coquimbo,92,2,2,Rural,30080,16342,30856,97.5,97.5
10401,Chaitén,Los Lagos,93,2,2,Rural,4919,2466,5113,96.2,96.2
3303,Freirina,Atacama,94,2,1,Rural,8037,4171,7888,100.0,101.9
8206,Los Alamos,Biobío,95,2,2,Rural,25499,12623,23133,100.0,110.2
7408,Yerbas Buenas,Maule,96,2,1,Rural,22276,12034,20078,100.0,110.9
10307,San Pablo,Los Lagos,97,2,2,Rural,11963,6202,10514,100.0,113.8
10403,Hualaihué,Los Lagos,98,2,2,Rural,10950,6006,9614,100.0,113.9
8304,Laja,Biobío,99,2,2,Mixta,24349,11563,23926,100.0,101.8
6309,Pumanque,Libertador General Bernardo O'Higgins,100,2,1,Rural,4765,2674,3507,100.0,135.9
10209,Quemchi,Los Lagos,101,2,2,Rural,9004,4952,8732,100.0,103.1
16305,San Nicolás,Ñuble,102,2,4,Rural,16602,8260,12621,100.0,131.5
8305,Mulchén,Biobío,103,2,2,Mixta,30049,15150,31134,96.5,96.5
8202,Arauco,Biobío,104,2,3,Rural,38612,19585,39026,98.9,98.9
6109,Malloa,Libertador General Bernardo O'Higgins,105,2,1,Rural,14488,7634,14349,100.0,101.0
8311,Santa Bárbara,Biobío,106,2,3,Rural,15309,7529,14694,100.0,104.2
7302,Hualañé,Maule,107,2,2,Rural,11332,6513,10210,100.0,111.0
7103,Curepto,Maule,108,2,2,Rural,10663,6263,8992,100.0,118.6
15101,Arica,Arica y Parinacota,109,2,4,Urbana,231783,133788,260902,88.8,88.8
6113,Pichidegua,Libertador General Bernardo O'Higgins,110,2,2,Rural,21155,10716,21184,99.9,99.9
5705,Putaendo,Valparaíso,111,2,1,Rural,17731,9690,18164,97.6,97.6
16102,Bulnes,Ñuble,112,2,4,Rural,24542,12015,22780,100.0,107.7
8111,Tomé,Biobío,113,2,3,Urbana,57858,30686,59282,97.6,97.6
8303,Cabrero,Biobío,114,2,3,Mixta,31722,16803,31236,100.0,101.6
