cod_reg,Region,rank_nac,c_ig_nac,n_comunas,n_uv,pob_rsh_reg,hog_reg,cobertura_rsh
9,La Araucanía,1,1,32,487,1030994,506182,99.2
16,Ñuble,2,1,21,367,518987,262330,98.7
15,Arica y Parinacota,3,1,4,117,235048,135816,88.5
14,Los Ríos,4,1,12,188,403859,213830,97.1
7,Maule,5,2,30,478,1136866,608275,95.5
10,Los Lagos,6,2,30,587,869968,459493,94.5
8,Biobío,7,2,33,722,1545124,796967,91.2
1,Tarapacá,8,2,7,120,333038,181631,80.2
4,Coquimbo,9,3,15,405,790272,405870,87.9
6,Libertador General Bernardo O'Higgins,10,3,33,498,965081,522535,92.7
3,Atacama,11,3,9,112,300989,171147,93.6
11,Aysén del General Carlos Ibáñez del Campo,12,3,10,101,107882,57599,99.0
5,Valparaíso,13,4,38,1067,1819897,983114,88.6
2,Antofagasta,14,4,9,160,554964,299336,76.5
12,Magallanes y de la Antártica Chilena,15,4,11,109,157825,88701,85.2
13,Metropolitana de Santiago,16,4,52,1373,6316641,3485797,74.1
