Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
ANTOFAGASTA,28,CIFUNCHO,TALTAL,1,1,1,82,True
ANTOFAGASTA,76,SIN DEF COMUNAL,TALTAL,1,1,1,336,False
ANTOFAGASTA,140,SIN DEF COMUNAL,ANTOFAGASTA,1,1,1,15125,False
ANTOFAGASTA,248,7,MARIA ELENA,1,1,1,202,True
ANTOFAGASTA,710,SANTIAGO DE RIO GRANDE,SAN PEDRO DE ATACAMA,1,1,1,60,True
ANTOFAGASTA,846,21,TOCOPILLA,1,1,1,1567,True
ANTOFAGASTA,915,004,SIERRA GORDA,1,1,1,435,True
ANTOFAGASTA,1005,SAN ANTONIO DE CAMAR,SAN PEDRO DE ATACAMA,1,1,2,112,True
ANTOFAGASTA,1159,22,TOCOPILLA,1,1,1,560,True
ANTOFAGASTA,1570,14,TOCOPILLA,1,1,1,495,True
ARICA Y PARINACOTA,4,CHACA,ARICA,1,1,1,235,True
ARICA Y PARINACOTA,9,CHUSMIZA,PUTRE,1,1,1,47,True
ARICA Y PARINACOTA,24,PARINACOTA,PUTRE,1,1,1,72,True
ARICA Y PARINACOTA,29,CHISLLUMA,GENERAL LAGOS,1,1,1,44,True
ARICA Y PARINACOTA,31,TACORA,GENERAL LAGOS,1,1,1,31,True
ARICA Y PARINACOTA,64,5,CAMARONES,1,1,1,103,True
ARICA Y PARINACOTA,83,7,CAMARONES,1,1,2,26,True
ARICA Y PARINACOTA,89,CHUJLLUTA,GENERAL LAGOS,1,1,2,59,True
ARICA Y PARINACOTA,91,ANCOLACANE,GENERAL LAGOS,1,1,2,45,True
ARICA Y PARINACOTA,152,GUALLATIRE,PUTRE,1,1,2,63,True
ATACAMA,2,OBISPITO Y CALESTAS RURAL NORTE,CALDERA,1,1,1,82,True
ATACAMA,3,BARRANQUILLA Y CALESTAS DEL SUR,CALDERA,1,1,1,84,True
ATACAMA,7,RURAL PUERTO VIEJO,CALDERA,1,1,1,43,True
ATACAMA,70,LAS BREAS,ALTO DEL CARMEN,1,1,1,334,True
ATACAMA,86,ALGARROBAL,VALLENAR,1,1,1,155,True
ATACAMA,100,JUNTA DE VALERIANO,ALTO DEL CARMEN,1,1,1,176,True
ATACAMA,404,LA LAJA,ALTO DEL CARMEN,1,1,1,74,True
ATACAMA,519,MARQUESAS,ALTO DEL CARMEN,1,1,2,325,True
ATACAMA,541,RETAMOS,ALTO DEL CARMEN,1,1,2,274,True
ATACAMA,574,6,HUASCO,1,1,1,1187,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,22,PUERTO GAVIOTA,CISNES,1,1,1,46,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,27,18R,AYSEN,1,1,1,86,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,39,RIO LEON,CHILE CHICO,1,1,1,26,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,73,SIN DEF COMUNAL,RIO IBANEZ,1,1,1,1,False
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,74,EL AVELLANO,RIO IBANEZ,1,1,1,8,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,82,12R,AYSEN,1,1,1,446,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,84,RIO CISNES,LAGO VERDE,1,1,1,177,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,113,FACHINAL,CHILE CHICO,1,1,1,41,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,128,MALLIN GRANDE,CHILE CHICO,1,1,1,186,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,177,PENINSULA DE LEVICAN,RIO IBANEZ,1,1,2,34,True
BIOBIO,5,15R,TIRUA,1,1,1,152,True
BIOBIO,18,010,CONTULMO,1,1,1,73,True
BIOBIO,19,EL QUILLAY,HUALQUI,1,1,1,162,True
BIOBIO,21,016,FLORIDA,1,1,1,389,True
BIOBIO,26,EL GUAPE,CURANILAHUE,1,1,1,6,True
BIOBIO,32,CHACAY RAYENCO,ANTUCO,1,1,1,1,True
BIOBIO,33,008,CONTULMO,1,1,1,188,True
BIOBIO,40,CARRIZAL,NACIMIENTO,1,1,1,295,True
BIOBIO,45,006,CONTULMO,1,1,2,180,True
BIOBIO,46,009,CONTULMO,1,1,2,22,True
COQUIMBO,12,11,LA HIGUERA,1,1,1,41,True
COQUIMBO,34,HUANTA,VICUNA,1,1,1,113,True
COQUIMBO,44,027R,COQUIMBO,1,1,1,168,True
COQUIMBO,49,16,MONTE PATRIA,1,1,1,51,True
COQUIMBO,65,PAMPA ARRIBA,COMBARBALA,1,1,1,116,True
COQUIMBO,87,ALHUEMILLA,CANELA,1,1,1,146,True
COQUIMBO,98,SIN DEF COMUNAL,VICUNA,1,1,1,462,False
