Region,rank_nac,uv_nombre,Comuna,c_ig_nac,c_ig_reg,c_ig_com,pob_rsh_uv,uv_definida
ÑUBLE,1,CULENCO,QUIRIHUE,1,1,1,121,True
ATACAMA,2,OBISPITO Y CALESTAS RURAL NORTE,CALDERA,1,1,1,82,True
ATACAMA,3,BARRANQUILLA Y CALESTAS DEL SUR,CALDERA,1,1,1,84,True
ARICA Y PARINACOTA,4,CHACA,ARICA,1,1,1,235,True
BIOBIO,5,15R,TIRUA,1,1,1,152,True
ÑUBLE,6,15R,PORTEZUELO,1,1,1,77,True
ATACAMA,7,RURAL PUERTO VIEJO,CALDERA,1,1,1,43,True
ÑUBLE,8,4R,QUILLON,1,1,1,182,True
ARICA Y PARINACOTA,9,CHUSMIZA,PUTRE,1,1,1,47,True
LIBERTADOR GENERAL BERNARDO OHIGGINS,10,2,LOLOL,1,1,1,192,True
ÑUBLE,11,8R,QUILLON,1,1,1,231,True
COQUIMBO,12,11,LA HIGUERA,1,1,1,41,True
LA ARAUCANIA,13,PICHIPEHUEN,ANGOL,1,1,1,25,True
LA ARAUCANIA,14,LOMAS DE TORO,ANGOL,1,1,1,104,True
MAULE,15,4,PELLUHUE,1,1,1,217,True
LOS LAGOS,16,DUATAO,ANCUD,1,1,1,75,True
ÑUBLE,17,03R,YUNGAY,1,1,1,228,True
BIOBIO,18,010,CONTULMO,1,1,1,73,True
BIOBIO,19,EL QUILLAY,HUALQUI,1,1,1,162,True
ÑUBLE,20,LOS CORRALES,COBQUECURA,1,1,1,89,True
BIOBIO,21,016,FLORIDA,1,1,1,389,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,22,PUERTO GAVIOTA,CISNES,1,1,1,46,True
ÑUBLE,23,08R,PORTEZUELO,1,1,1,179,True
ARICA Y PARINACOTA,24,PARINACOTA,PUTRE,1,1,1,72,True
LA ARAUCANIA,25,AGUA SANTA,PUREN,1,1,1,94,True
BIOBIO,26,EL GUAPE,CURANILAHUE,1,1,1,6,True
AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,27,18R,AYSEN,1,1,1,86,True
ANTOFAGASTA,28,CIFUNCHO,TALTAL,1,1,1,82,True
ARICA Y PARINACOTA,29,CHISLLUMA,GENERAL LAGOS,1,1,1,44,True
